诗词,作者,朝代
蝶恋花·两岸月桥花半吐,真德秀,宋代
野菊,王建,唐代
玉烛新·白海棠,顾太清,清代
裴给事宅白牡丹,卢纶,唐代
疏影·咏荷叶,张炎,宋代
醉桃源·柳,翁元龙,宋代
绿头鸭·咏月,晁端礼,宋代
贺新郎·赋琵琶,辛弃疾,宋代
病马,杜甫,唐代
香菱咏月·其二,曹雪芹,清代
鹦鹉赋,祢衡,两汉
点绛唇·咏风兰,纳兰性德,清代
池上,张光启,清代
大司成颜几圣率同舍招游裴园·其七,杨万里,宋代
咏燕 / 归燕诗,张九龄,唐代
雨不绝,杜甫,唐代
拂舞词 / 公无渡河,温庭筠,唐代
十一月中旬至扶风界见梅花,李商隐,唐代
晓过鸳湖,查慎行,清代
咏愁,石象之,宋代
和袭美木兰后池三咏·白莲,陆龟蒙,唐代
天香·咏龙涎香,王沂孙,宋代
桃花,周朴,唐代
花犯·谢黄复庵除夜寄古梅枝,吴文英,宋代
浪淘沙·杨花,李雯,清代
樱桃花,元稹,唐代
贺新郎·和前韵,辛弃疾,宋代
咏草,俞紫芝,宋代
慈姥竹,李白,唐代
菩萨蛮·春风试手先梅蕊,赵令畤,宋代
金人捧露盘·水仙花,高观国,宋代
虞美人·影松峦峰,侯文曜,清代
垂柳,唐彦谦,唐代
清平乐·检校山园书所见,辛弃疾,宋代
绣鸾凤花犯·赋水仙,周密,宋代
扬州慢·琼花,郑觉齐,宋代
霜天晓角·梅,萧泰来,宋代
水龙吟·燕忙莺懒芳残,章楶,宋代
满庭芳·茶,黄庭坚,宋代
临发崇让宅紫薇,李商隐,唐代
三绝句,杜甫,唐代
洞仙歌·荷花,刘光祖,宋代
忆秦娥·杨花,宋徵舆,清代
望海楼晚景五绝,苏轼,宋代
代迎春花招刘郎中,白居易,唐代
夜游宫·竹窗听雨,吴文英,宋代
菩萨蛮·端午日咏盆中菊,顾太清,清代
寓居定惠院之东杂花满山有海棠一株土人不知贵也,苏轼,宋代
牡丹,薛涛,唐代
淡黄柳·咏柳,纳兰性德,清代
醉中天·咏大蝴蝶,王和卿,元代
高阳台·落梅,吴文英,宋代
沁园春·咏菜花,陈维崧,清代
少年游·玉壶冰莹兽炉灰,欧阳修,宋代
香菱咏月·其一,曹雪芹,清代
蔷薇花,杜牧,唐代
苔,袁枚,清代
疏影·梅影,张炎,宋代
浣溪沙·琴川慧日寺蜡梅,吴文英,宋代
梅花落,杨炯,唐代
千年调·卮酒向人时,辛弃疾,宋代
临江仙·孤雁,纳兰性德,清代
卜算子·旅雁向南飞,朱敦儒,宋代
咏春笋,杜甫,唐代
赏牡丹,王建,唐代
鼓钟,佚名,先秦
南乡子·岸远沙平,欧阳炯,五代
昌谷北园新笋四首,李贺,唐代
思黯南墅赏牡丹,刘禹锡,唐代
浣溪沙·从石楼石壁往来邓尉山中,郑文焯,清代
水龙吟·载学士院有之,辛弃疾,宋代
书幽芳亭记,黄庭坚,宋代
临江仙·洞庭波浪颭晴天,牛希济,五代
杨柳,汪遵,唐代
秋兰赋,袁枚,清代
咏笼莺,纳兰性德,清代
小桃红·咏桃,周文质,元代
水龙吟·露寒烟冷蒹葭老,苏轼,宋代
鱼藻,佚名,先秦
